Question ID,Topic,Question,Status,Short Notes,Solution Link
Q127,Topic 10 - Advanced Safety (12),ISR-safe tracing buffer,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/10_advanced_safety_and_validation_solutions.md#L121
Q128,Topic 10 - Advanced Safety (12),Sequence-lock shared stats,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/10_advanced_safety_and_validation_solutions.md#L158
Q129,Topic 10 - Advanced Safety (12),Wraparound-safe tick compare,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/10_advanced_safety_and_validation_solutions.md#L198
Q130,Topic 10 - Advanced Safety (12),Compile-time config validation,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/10_advanced_safety_and_validation_solutions.md#L221
Q131,Topic 10 - Advanced Safety (12),Driver fault injection hooks,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/10_advanced_safety_and_validation_solutions.md#L240
Q132,Topic 10 - Advanced Safety (12),Memory watermark tracker,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/10_advanced_safety_and_validation_solutions.md#L273
Q133,Topic 10 - Advanced Safety (12),Power-state safe suspend/resume,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/10_advanced_safety_and_validation_solutions.md#L311
Q134,Topic 10 - Advanced Safety (12),Fake-register HAL (host test),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/10_advanced_safety_and_validation_solutions.md#L337
Q135,Topic 11 - HW Concurrency & ARM Ordering (26),Store buffering litmus (SMP),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L3
Q136,Topic 11 - HW Concurrency & ARM Ordering (26),Dekker failure w/o barriers,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L39
Q137,Topic 11 - HW Concurrency & ARM Ordering (26),Relaxed ordering queue bug,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L70
Q138,Topic 11 - HW Concurrency & ARM Ordering (26),ISR↔task flag handoff,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L105
Q139,Topic 11 - HW Concurrency & ARM Ordering (26),Multi-core stale-read ring,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L135
Q140,Topic 11 - HW Concurrency & ARM Ordering (26),Volatile vs atomic (driver flag),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L161
Q141,Topic 11 - HW Concurrency & ARM Ordering (26),Write-combining MMIO hazard,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L194
Q142,Topic 11 - HW Concurrency & ARM Ordering (26),SMP cache vs DMA visibility,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L223
Q143,Topic 11 - HW Concurrency & ARM Ordering (26),Correct DMB placement,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L250
Q144,Topic 11 - HW Concurrency & ARM Ordering (26),DSB in IRQ completion,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L276
Q145,Topic 11 - HW Concurrency & ARM Ordering (26),ISB after control write,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L301
Q146,Topic 11 - HW Concurrency & ARM Ordering (26),Safe MMIO polling (barriers),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L326
Q147,Topic 11 - HW Concurrency & ARM Ordering (26),Status clear ordering race,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L352
Q148,Topic 11 - HW Concurrency & ARM Ordering (26),IRQ-safe reference counter,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L379
Q149,Topic 11 - HW Concurrency & ARM Ordering (26),IRQ-safe allocator (fallback),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L406
Q150,Topic 11 - HW Concurrency & ARM Ordering (26),Top/bottom-half API,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L442
Q151,Topic 11 - HW Concurrency & ARM Ordering (26),Nested IRQ-safe CS,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L480
Q152,Topic 11 - HW Concurrency & ARM Ordering (26),Shared stats (ISR+task),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L513
Q153,Topic 11 - HW Concurrency & ARM Ordering (26),Latency-bounded deferral,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L554
Q154,Topic 11 - HW Concurrency & ARM Ordering (26),CPU↔DMA ownership bug,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L580
Q155,Topic 11 - HW Concurrency & ARM Ordering (26),Cache omission failure,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L616
Q156,Topic 11 - HW Concurrency & ARM Ordering (26),Ping–pong DMA race,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L641
Q157,Topic 11 - HW Concurrency & ARM Ordering (26),Lock contention counter,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L669
Q158,Topic 11 - HW Concurrency & ARM Ordering (26),ISR time histogram,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L696
Q159,Topic 11 - HW Concurrency & ARM Ordering (26),Queue watermark telemetry,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L725
Q160,Topic 11 - HW Concurrency & ARM Ordering (26),Priority inversion trace,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/11_hw_concurrency_and_arm_ordering_solutions.md#L757
Q161,Topic 12 - Determinism & SMP Logging (3),Wrap-safe timeout scheduler,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/12_determinism_and_smp_logging_solutions.md#L3
Q162,Topic 12 - Determinism & SMP Logging (3),MPMC logging ring (bounded drop),Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/12_determinism_and_smp_logging_solutions.md#L31
Q163,Topic 12 - Determinism & SMP Logging (3),Dependency-safe driver init,Not Done,,https://github.com/ue153081/Embedded-Interview-Preparation/blob/main/Embedded%20Interview%20questions/Embedded/12_determinism_and_smp_logging_solutions.md#L75
